LATITUDE,LONGITUDE,ACCIDENT_TYPE_(CATEGORY),ROAD_TYPE,WEATHER,VEHICLE_1:_BODY_TYPE,Area,IMPACT
34.98992,135.73184,車両故障,道路(その他),晴れ,リヤーエンジン,京都市,7
38.40457,140.52333,車両故障,道路(その他),雪,バン,東根市,9
35.45356,139.62924,死傷,道路(その他),晴れ,リヤーエンジン,横浜市,10
35.10723,136.98692,車内,道路(その他),晴れ,リヤーエンジン,名古屋市,5
38.44753,140.31715,転覆,道路(その他),曇,コンクリートミキサー車,西村,10
35.32714,139.44862,車両故障,道路(その他),晴れ,リヤーエンジン,藤沢市,7
34.99267,136.62827,死傷,その他の場所,晴れ,ダンプ,四日市,10
35.57702,139.50969,健康起因,道路(その他),晴れ,リヤーエンジン,川崎市,6
43.07222,141.35158,車両故障,道路(その他),雪,リヤーエンジン,札幌市,9
36.3759,138.9612,衝突,道路(その他),晴れ,リヤーエンジン,高崎市,9
34.99048,135.77589,車両故障,道路(その他),晴れ,リヤーエンジン,京都市,7
37.65761,140.46321,交通障害,道路(高速自動車国道),晴れ,バン,福島市,7
36.38023,140.45888,車両故障,道路(その他),曇,リヤーエンジン,茨城県水戸市,8
35.03125,137.13503,車両故障,その他の場所,晴れ,リヤーエンジン,豊田市,7
34.36271,135.33528,車両故障,道路(高速自動車国道),晴れ,リヤーエンジン,泉佐野市,7
34.72083,135.41696,死傷,道路(その他),晴れ,バン,尼崎市,10
42.99109,141.33313,車内,道路(その他),晴れ,リヤーエンジン,札幌市,5
35.70695,139.81984,車両故障,道路(その他),晴れ,リヤーエンジン,江東区,7
35.40305,139.61676,車両故障,道路(その他),晴れ,リヤーエンジン,横浜市,7
43.02645,141.354,車両故障,道路(その他),曇,リヤーエンジン,札幌市,8
34.66842,135.561,車両故障,道路(その他),晴れ,リヤーエンジン,大阪市,7
36.89858,139.98586,死傷,道路(その他),晴れ,キャブオーバ,那須塩原市,10
36.34499,138.33272,転覆,道路(その他),曇,トラクタ,東御市,9
35.59921,139.60954,車両故障,その他の場所,晴れ,リヤーエンジン,川崎市,7
35.17459,135.88509,死傷,道路(その他),晴れ,リヤーエンジン,大津市,10
32.80724,129.8156,車両故障,道路(その他),晴れ,リヤーエンジン,長崎市,7
42.99806,141.62662,車両故障,道路(その他),曇,リヤーエンジン,夕張郡長沼町,8
38.29916,140.8755,車内,道路(その他),晴れ,リヤーエンジン,仙台市,5
35.78691,139.80023,死傷,道路(その他),晴れ,箱型,足立区,10
36.66909,136.72868,車両故障,道路(その他),晴れ,キャブオーバ,河北郡津幡町,7
26.20947,127.67667,健康起因,道路(その他),曇,箱型,那覇市,6
34.82534,137.04591,車内,道路(その他),晴れ,箱型,西尾市,5
38.76007,141.03354,車両故障,道路(その他),晴れ,キャブオーバ,栗原市,7
34.82628,136.29454,火災,道路(自動車専用道路等),晴れ,バン,亀山市,9
34.99292,135.72995,死傷,道路(その他),曇,箱型,京都市,10
35.58558,139.72574,死傷,道路(その他),晴れ,箱型,大田区,10
34.10046,132.09277,衝突,道路(高速自動車国道),曇,バン,岩国市,9
34.10046,132.09277,衝突,道路(高速自動車国道),雨,冷蔵冷凍車,岩国市,10
34.74329,135.39296,車両故障,道路(高速自動車国道),曇,トラクタ,尼崎市,7
34.70327,137.79195,車両故障,道路(高速自動車国道),晴れ,リヤーエンジン,浜松市,7
35.89992,139.60117,死傷,道路(その他),晴れ,バン,さいたま市,10
34.49881,135.52087,車両故障,道路(その他),曇,リヤーエンジン,堺市,8
34.74258,138.08118,車両故障,その他の場所,晴れ,リヤーエンジン,菊川市,7
35.75988,139.74561,死傷,道路(その他),曇,リヤーエンジン,北区,10
38.26231,140.98885,車両故障,道路(その他),曇,リヤーエンジン,仙台市,8
43.01142,142.88457,車両故障,道路(その他),曇,冷蔵冷凍車,上川郡清水町,7
35.28396,138.94777,車両故障,道路(高速自動車国道),雨,リヤーエンジン,御殿場市,8
33.16248,129.73355,死傷,道路(その他),曇,箱型,佐世保市,10
42.98502,144.38553,衝突,道路(その他),晴れ,箱型,釧路市,9
37.23498,140.39011,車両故障,道路(高速自動車国道),晴れ,リヤーエンジン,岩瀬郡鏡石町,7
43.20984,140.99803,車両故障,その他の場所,雪,リヤーエンジン,小樽市,9
35.94988,139.69418,死傷,道路(その他),晴れ,冷蔵冷凍車,さいたま市,10
36.37066,140.47539,車両故障,その他の場所,晴れ,リヤーエンジン,水戸市,7
35.50686,139.67567,健康起因,道路(その他),晴れ,箱型,鶴見区,6
35.76441,139.90985,衝突,道路(その他),晴れ,箱型,市川市,9
43.69576,142.07411,車両故障,道路(その他),晴れ,リヤーエンジン,深川市,7
36.37066,140.47539,車両故障,その他の場所,晴れ,リヤーエンジン,水戸市,7
35.80096,139.71648,車両故障,道路(その他),晴れ,リヤーエンジン,川口市,7
35.62417,139.30579,車両故障,道路(その他),晴れ,リヤーエンジン,八王子市,7
38.73248,139.80048,車両故障,道路(その他),晴れ,リヤーエンジン,鶴岡市,7
35.64373,139.82651,車両故障,道路(自動車専用道路等),晴れ,リヤーエンジン,江東区,7
35.65427,139.6944,車両故障,道路(その他),晴れ,リヤーエンジン,渋谷区,7
35.40542,139.37173,交通障害,道路(高速自動車国道),晴れ,キャブオーバ,海老名市,7
35.17586,137.01024,健康起因,道路(高速自動車国道),晴れ,キャブオーバ,名古屋市,6
35.84628,139.71913,車両故障,道路(その他),晴れ,リヤーエンジン,川口市,7
38.39335,140.90082,衝突,道路(高速自動車国道),晴れ,バン,富谷市,9
34.21944,134.58005,死傷,道路(その他),晴れ,バン,鳴門市,10
35.47335,139.63388,車両故障,道路(その他),晴れ,リヤーエンジン,横浜市,7
34.97308,135.69829,車両故障,道路(その他),晴れ,リヤーエンジン,京都市,7
36.8068,138.20522,車内,その他の場所,晴れ,その他,上水内郡信濃町,4
37.99869,139.23958,死傷,道路(その他),晴れ,ダンプ,北蒲原郡聖篭町,10
35.02543,137.44717,転落,道路(その他),曇,リヤーエンジン,新城市,10
40.4083,141.71864,衝突,道路(その他),晴れ,ダンプ,九戸郡洋野町,10
35.79454,139.37842,健康起因,その他の場所,晴れ,箱型,入間市,6
35.77414,140.65288,衝突,道路(その他),雨,リヤーエンジン,旭市,10
