"調査年 コード","調査年","地域 コード","地域","/項目","A6103_流出人口（県内他市区町村で従業・通学している人口）【人】","注釈"
"2020100000","2020年度","01462","北海道 南富良野町","","130",""
"2020100000","2020年度","01463","北海道 占冠村","","58",""
"2020100000","2020年度","01464","北海道 和寒町","","324",""
"2020100000","2020年度","01465","北海道 剣淵町","","340",""
"2020100000","2020年度","01468","北海道 下川町","","200",""
"2020100000","2020年度","01469","北海道 美深町","","244",""
"2020100000","2020年度","01470","北海道 音威子府村","","17",""
"2020100000","2020年度","01471","北海道 中川町","","46",""
"2020100000","2020年度","01472","北海道 幌加内町","","62",""
"2020100000","2020年度","01481","北海道 増毛町","","480",""
"2020100000","2020年度","01482","北海道 小平町","","343",""
"2020100000","2020年度","01483","北海道 苫前町","","219",""
"2020100000","2020年度","01484","北海道 羽幌町","","293",""
"2020100000","2020年度","01485","北海道 初山別村","","77",""
"2020100000","2020年度","01486","北海道 遠別町","","107",""
"2020100000","2020年度","01487","北海道 天塩町","","131",""
"2020100000","2020年度","01511","北海道 猿払村","","85",""
"2020100000","2020年度","01512","北海道 浜頓別町","","135",""
"2020100000","2020年度","01513","北海道 中頓別町","","115",""
"2020100000","2020年度","01514","北海道 枝幸町","","146",""
"2020100000","2020年度","01516","北海道 豊富町","","219",""
"2020100000","2020年度","01517","北海道 礼文町","","1",""
"2020100000","2020年度","01518","北海道 利尻町","","64",""
"2020100000","2020年度","01519","北海道 利尻富士町","","99",""
"2020100000","2020年度","01520","北海道 幌延町","","122",""
"2020100000","2020年度","01543","北海道 美幌町","","2,072",""
"2020100000","2020年度","01544","北海道 津別町","","332",""
"2020100000","2020年度","01545","北海道 斜里町","","346",""
"2020100000","2020年度","01546","北海道 清里町","","331",""
"2020100000","2020年度","01547","北海道 小清水町","","361",""
"2020100000","2020年度","01549","北海道 訓子府町","","741",""
"2020100000","2020年度","01550","北海道 置戸町","","219",""
"2020100000","2020年度","01552","北海道 佐呂間町","","211",""
"2020100000","2020年度","01555","北海道 遠軽町","","969",""
"2020100000","2020年度","01559","北海道 湧別町","","629",""
"2020100000","2020年度","01560","北海道 滝上町","","96",""
"2020100000","2020年度","01561","北海道 興部町","","202",""
"2020100000","2020年度","01562","北海道 西興部村","","56",""
"2020100000","2020年度","01563","北海道 雄武町","","159",""
"2020100000","2020年度","01564","北海道 大空町","","735",""
"2020100000","2020年度","01571","北海道 豊浦町","","558",""
"2020100000","2020年度","01575","北海道 壮瞥町","","391",""
"2020100000","2020年度","01578","北海道 白老町","","1,633",""
"2020100000","2020年度","01581","北海道 厚真町","","559",""
"2020100000","2020年度","01584","北海道 洞爺湖町","","1,087",""
"2020100000","2020年度","01585","北海道 安平町","","1,233",""
"2020100000","2020年度","01586","北海道 むかわ町","","706",""
"2020100000","2020年度","01601","北海道 日高町","","873",""
"2020100000","2020年度","01602","北海道 平取町","","348",""
"2020100000","2020年度","01604","北海道 新冠町","","821",""
"2020100000","2020年度","01607","北海道 浦河町","","464",""
"2020100000","2020年度","01608","北海道 様似町","","500",""
"2020100000","2020年度","01609","北海道 えりも町","","111",""
"2020100000","2020年度","01610","北海道 新ひだか町","","1,055",""
"2020100000","2020年度","01631","北海道 音更町","","10,605",""
"2020100000","2020年度","01632","北海道 士幌町","","573",""
"2020100000","2020年度","01633","北海道 上士幌町","","339",""
"2020100000","2020年度","01634","北海道 鹿追町","","424",""
"2020100000","2020年度","01635","北海道 新得町","","487",""
"2020100000","2020年度","01636","北海道 清水町","","856",""
"2020100000","2020年度","01637","北海道 芽室町","","3,863",""
"2020100000","2020年度","01638","北海道 中札内村","","505",""
"2020100000","2020年度","01639","北海道 更別村","","353",""
"2020100000","2020年度","01641","北海道 大樹町","","296",""
"2020100000","2020年度","01642","北海道 広尾町","","280",""
"2020100000","2020年度","01643","北海道 幕別町","","6,644",""
"2020100000","2020年度","01644","北海道 池田町","","829",""
"2020100000","2020年度","01645","北海道 豊頃町","","239",""
"2020100000","2020年度","01646","北海道 本別町","","372",""
"2020100000","2020年度","01647","北海道 足寄町","","297",""
"2020100000","2020年度","01648","北海道 陸別町","","68",""
"2020100000","2020年度","01649","北海道 浦幌町","","259",""
"2020100000","2020年度","01661","北海道 釧路町","","4,333",""
"2020100000","2020年度","01662","北海道 厚岸町","","485",""
"2020100000","2020年度","01663","北海道 浜中町","","184",""
"2020100000","2020年度","01664","北海道 標茶町","","398",""
"2020100000","2020年度","01665","北海道 弟子屈町","","229",""
"2020100000","2020年度","01667","北海道 鶴居村","","308",""
"2020100000","2020年度","01668","北海道 白糠町","","1,118",""
"2020100000","2020年度","01691","北海道 別海町","","590",""
