"調査年 コード","調査年","地域 コード","地域","/項目","A6103_流出人口（県内他市区町村で従業・通学している人口）【人】","注釈"
"2010100000","2010年度","32386","島根県 飯南町","","275",""
"2010100000","2010年度","32441","島根県 川本町","","423",""
"2010100000","2010年度","32448","島根県 美郷町","","615",""
"2010100000","2010年度","32449","島根県 邑南町","","498",""
"2010100000","2010年度","32501","島根県 津和野町","","871",""
"2010100000","2010年度","32505","島根県 吉賀町","","172",""
"2010100000","2010年度","32525","島根県 海士町","","54",""
"2010100000","2010年度","32526","島根県 西ノ島町","","54",""
"2010100000","2010年度","32527","島根県 知夫村","","16",""
"2010100000","2010年度","32528","島根県 隠岐の島町","","13",""
"2010100000","2010年度","33100","岡山県 岡山市","","122,546",""
"2010100000","2010年度","33101","岡山県 岡山市 北区","","30,838",""
"2010100000","2010年度","33102","岡山県 岡山市 中区","","34,174",""
"2010100000","2010年度","33103","岡山県 岡山市 東区","","21,841",""
"2010100000","2010年度","33104","岡山県 岡山市 南区","","35,693",""
"2010100000","2010年度","33202","岡山県 倉敷市","","44,447",""
"2010100000","2010年度","33203","岡山県 津山市","","9,042",""
"2010100000","2010年度","33204","岡山県 玉野市","","9,273",""
"2010100000","2010年度","33205","岡山県 笠岡市","","6,671",""
"2010100000","2010年度","33207","岡山県 井原市","","4,051",""
"2010100000","2010年度","33208","岡山県 総社市","","15,240",""
"2010100000","2010年度","33209","岡山県 高梁市","","2,689",""
"2010100000","2010年度","33210","岡山県 新見市","","1,491",""
"2010100000","2010年度","33211","岡山県 備前市","","5,837",""
"2010100000","2010年度","33212","岡山県 瀬戸内市","","9,096",""
"2010100000","2010年度","33213","岡山県 赤磐市","","12,247",""
"2010100000","2010年度","33214","岡山県 真庭市","","3,119",""
"2010100000","2010年度","33215","岡山県 美作市","","4,038",""
"2010100000","2010年度","33216","岡山県 浅口市","","8,902",""
"2010100000","2010年度","33346","岡山県 和気町","","3,595",""
"2010100000","2010年度","33423","岡山県 早島町","","4,334",""
"2010100000","2010年度","33445","岡山県 里庄町","","3,142",""
"2010100000","2010年度","33461","岡山県 矢掛町","","3,404",""
"2010100000","2010年度","33586","岡山県 新庄村","","175",""
"2010100000","2010年度","33606","岡山県 鏡野町","","2,928",""
"2010100000","2010年度","33622","岡山県 勝央町","","2,809",""
"2010100000","2010年度","33623","岡山県 奈義町","","1,286",""
"2010100000","2010年度","33643","岡山県 西粟倉村","","239",""
"2010100000","2010年度","33663","岡山県 久米南町","","1,261",""
"2010100000","2010年度","33666","岡山県 美咲町","","3,851",""
"2010100000","2010年度","33681","岡山県 吉備中央町","","1,968",""
"2010100000","2010年度","34100","広島県 広島市","","297,295",""
"2010100000","2010年度","34101","広島県 広島市 中区","","19,915",""
"2010100000","2010年度","34102","広島県 広島市 東区","","36,886",""
"2010100000","2010年度","34103","広島県 広島市 南区","","32,804",""
"2010100000","2010年度","34104","広島県 広島市 西区","","49,400",""
"2010100000","2010年度","34105","広島県 広島市 安佐南区","","57,256",""
"2010100000","2010年度","34106","広島県 広島市 安佐北区","","36,371",""
"2010100000","2010年度","34107","広島県 広島市 安芸区","","25,862",""
"2010100000","2010年度","34108","広島県 広島市 佐伯区","","38,801",""
"2010100000","2010年度","34202","広島県 呉市","","19,348",""
"2010100000","2010年度","34203","広島県 竹原市","","4,382",""
"2010100000","2010年度","34204","広島県 三原市","","8,881",""
"2010100000","2010年度","34205","広島県 尾道市","","12,677",""
"2010100000","2010年度","34207","広島県 福山市","","16,204",""
"2010100000","2010年度","34208","広島県 府中市","","6,156",""
"2010100000","2010年度","34209","広島県 三次市","","3,955",""
"2010100000","2010年度","34210","広島県 庄原市","","2,421",""
"2010100000","2010年度","34211","広島県 大竹市","","3,728",""
"2010100000","2010年度","34212","広島県 東広島市","","23,049",""
"2010100000","2010年度","34213","広島県 廿日市市","","27,077",""
"2010100000","2010年度","34214","広島県 安芸高田市","","3,855",""
"2010100000","2010年度","34215","広島県 江田島市","","3,117",""
"2010100000","2010年度","34302","広島県 府中町","","17,004",""
"2010100000","2010年度","34304","広島県 海田町","","9,493",""
"2010100000","2010年度","34307","広島県 熊野町","","7,244",""
"2010100000","2010年度","34309","広島県 坂町","","4,129",""
"2010100000","2010年度","34368","広島県 安芸太田町","","738",""
"2010100000","2010年度","34369","広島県 北広島町","","1,751",""
"2010100000","2010年度","34431","広島県 大崎上島町","","294",""
"2010100000","2010年度","34462","広島県 世羅町","","2,166",""
"2010100000","2010年度","34545","広島県 神石高原町","","1,054",""
"2010100000","2010年度","35201","山口県 下関市","","5,316",""
"2010100000","2010年度","35202","山口県 宇部市","","14,281",""
"2010100000","2010年度","35203","山口県 山口市","","16,300",""
"2010100000","2010年度","35204","山口県 萩市","","2,520",""
"2010100000","2010年度","35206","山口県 防府市","","11,699",""
"2010100000","2010年度","35207","山口県 下松市","","10,638",""
"2010100000","2010年度","35208","山口県 岩国市","","5,368",""
"2010100000","2010年度","35210","山口県 光市","","9,476",""
"2010100000","2010年度","35211","山口県 長門市","","2,292",""
"2010100000","2010年度","35212","山口県 柳井市","","5,450",""
"2010100000","2010年度","35213","山口県 美祢市","","3,863",""
"2010100000","2010年度","35215","山口県 周南市","","13,226",""
"2010100000","2010年度","35216","山口県 山陽小野田市","","11,794",""
"2010100000","2010年度","35305","山口県 周防大島町","","1,369",""
"2010100000","2010年度","35321","山口県 和木町","","1,043",""
"2010100000","2010年度","35341","山口県 上関町","","474",""
"2010100000","2010年度","35343","山口県 田布施町","","4,598",""
"2010100000","2010年度","35344","山口県 平生町","","3,340",""
"2010100000","2010年度","35502","山口県 阿武町","","633",""
"2010100000","2010年度","36201","徳島県 徳島市","","19,330",""
"2010100000","2010年度","36202","徳島県 鳴門市","","10,027",""
"2010100000","2010年度","36203","徳島県 小松島市","","9,382",""
"2010100000","2010年度","36204","徳島県 阿南市","","8,063",""
"2010100000","2010年度","36205","徳島県 吉野川市","","8,847",""
"2010100000","2010年度","36206","徳島県 阿波市","","7,332",""
"2010100000","2010年度","36207","徳島県 美馬市","","4,340",""
"2010100000","2010年度","36208","徳島県 三好市","","1,585",""
"2010100000","2010年度","36301","徳島県 勝浦町","","1,251",""
"2010100000","2010年度","36302","徳島県 上勝町","","143",""
"2010100000","2010年度","36321","徳島県 佐那河内村","","595",""
"2010100000","2010年度","36341","徳島県 石井町","","7,403",""
"2010100000","2010年度","36342","徳島県 神山町","","952",""
"2010100000","2010年度","36368","徳島県 那賀町","","760",""
"2010100000","2010年度","36383","徳島県 牟岐町","","621",""
"2010100000","2010年度","36387","徳島県 美波町","","1,005",""
"2010100000","2010年度","36388","徳島県 海陽町","","634",""
"2010100000","2010年度","36401","徳島県 松茂町","","4,177",""
"2010100000","2010年度","36402","徳島県 北島町","","7,263",""
"2010100000","2010年度","36403","徳島県 藍住町","","10,540",""
"2010100000","2010年度","36404","徳島県 板野町","","3,679",""
"2010100000","2010年度","36405","徳島県 上板町","","3,680",""
"2010100000","2010年度","36468","徳島県 つるぎ町","","1,661",""
"2010100000","2010年度","36489","徳島県 東みよし町","","2,810",""
"2010100000","2010年度","37201","香川県 高松市","","20,260",""
"2010100000","2010年度","37202","香川県 丸亀市","","23,755",""
"2010100000","2010年度","37203","香川県 坂出市","","10,487",""
"2010100000","2010年度","37204","香川県 善通寺市","","8,280",""
"2010100000","2010年度","37205","香川県 観音寺市","","7,852",""
"2010100000","2010年度","37206","香川県 さぬき市","","11,254",""
"2010100000","2010年度","37207","香川県 東かがわ市","","4,346",""
"2010100000","2010年度","37208","香川県 三豊市","","13,357",""
"2010100000","2010年度","37322","香川県 土庄町","","1,388",""
"2010100000","2010年度","37324","香川県 小豆島町","","1,160",""
"2010100000","2010年度","37341","香川県 三木町","","8,700",""
"2010100000","2010年度","37364","香川県 直島町","","34",""
"2010100000","2010年度","37386","香川県 宇多津町","","5,988",""
"2010100000","2010年度","37387","香川県 綾川町","","7,205",""
"2010100000","2010年度","37403","香川県 琴平町","","2,636",""
"2010100000","2010年度","37404","香川県 多度津町","","6,478",""
"2010100000","2010年度","37406","香川県 まんのう町","","5,284",""
"2010100000","2010年度","38201","愛媛県 松山市","","22,754",""
"2010100000","2010年度","38202","愛媛県 今治市","","4,810",""
"2010100000","2010年度","38203","愛媛県 宇和島市","","2,420",""
"2010100000","2010年度","38204","愛媛県 八幡浜市","","3,072",""
"2010100000","2010年度","38205","愛媛県 新居浜市","","6,646",""
"2010100000","2010年度","38206","愛媛県 西条市","","10,306",""
"2010100000","2010年度","38207","愛媛県 大洲市","","3,914",""
"2010100000","2010年度","38210","愛媛県 伊予市","","9,131",""
"2010100000","2010年度","38213","愛媛県 四国中央市","","2,700",""
"2010100000","2010年度","38214","愛媛県 西予市","","3,425",""
"2010100000","2010年度","38215","愛媛県 東温市","","7,678",""
"2010100000","2010年度","38356","愛媛県 上島町","","97",""
"2010100000","2010年度","38386","愛媛県 久万高原町","","344",""
"2010100000","2010年度","38401","愛媛県 松前町","","8,717",""
"2010100000","2010年度","38402","愛媛県 砥部町","","6,580",""
"2010100000","2010年度","38422","愛媛県 内子町","","2,595",""
"2010100000","2010年度","38442","愛媛県 伊方町","","908",""
"2010100000","2010年度","38484","愛媛県 松野町","","839",""
"2010100000","2010年度","38488","愛媛県 鬼北町","","1,570",""
"2010100000","2010年度","38506","愛媛県 愛南町","","751",""
"2010100000","2010年度","39201","高知県 高知市","","19,143",""
"2010100000","2010年度","39202","高知県 室戸市","","772",""
"2010100000","2010年度","39203","高知県 安芸市","","2,437",""
"2010100000","2010年度","39204","高知県 南国市","","11,577",""
"2010100000","2010年度","39205","高知県 土佐市","","5,487",""
"2010100000","2010年度","39206","高知県 須崎市","","2,605",""
"2010100000","2010年度","39208","高知県 宿毛市","","1,754",""
"2010100000","2010年度","39209","高知県 土佐清水市","","575",""
"2010100000","2010年度","39210","高知県 四万十市","","2,362",""
"2010100000","2010年度","39211","高知県 香南市","","7,816",""
"2010100000","2010年度","39212","高知県 香美市","","5,303",""
"2010100000","2010年度","39301","高知県 東洋町","","68",""
"2010100000","2010年度","39302","高知県 奈半利町","","621",""
"2010100000","2010年度","39303","高知県 田野町","","566",""
"2010100000","2010年度","39304","高知県 安田町","","591",""
"2010100000","2010年度","39305","高知県 北川村","","230",""
"2010100000","2010年度","39306","高知県 馬路村","","88",""
"2010100000","2010年度","39307","高知県 芸西村","","728",""
"2010100000","2010年度","39341","高知県 本山町","","650",""
"2010100000","2010年度","39344","高知県 大豊町","","447",""
"2010100000","2010年度","39363","高知県 土佐町","","477",""
"2010100000","2010年度","39364","高知県 大川村","","39",""
"2010100000","2010年度","39386","高知県 いの町","","6,729",""
"2010100000","2010年度","39387","高知県 仁淀川町","","422",""
"2010100000","2010年度","39401","高知県 中土佐町","","1,114",""
"2010100000","2010年度","39402","高知県 佐川町","","3,003",""
"2010100000","2010年度","39403","高知県 越知町","","1,118",""
"2010100000","2010年度","39405","高知県 檮原町","","169",""
"2010100000","2010年度","39410","高知県 日高村","","1,488",""
"2010100000","2010年度","39411","高知県 津野町","","1,029",""
"2010100000","2010年度","39412","高知県 四万十町","","790",""
"2010100000","2010年度","39424","高知県 大月町","","676",""
"2010100000","2010年度","39427","高知県 三原村","","306",""
"2010100000","2010年度","39428","高知県 黒潮町","","1,990",""
"2010100000","2010年度","40100","福岡県 北九州市","","178,394",""
"2010100000","2010年度","40101","福岡県 北九州市 門司区","","15,444",""
"2010100000","2010年度","40103","福岡県 北九州市 若松区","","17,184",""
"2010100000","2010年度","40105","福岡県 北九州市 戸畑区","","13,629",""
"2010100000","2010年度","40106","福岡県 北九州市 小倉北区","","24,058",""
"2010100000","2010年度","40107","福岡県 北九州市 小倉南区","","43,596",""
"2010100000","2010年度","40108","福岡県 北九州市 八幡東区","","15,822",""
"2010100000","2010年度","40109","福岡県 北九州市 八幡西区","","48,661",""
"2010100000","2010年度","40130","福岡県 福岡市","","333,487",""
"2010100000","2010年度","40131","福岡県 福岡市 東区","","61,596",""
"2010100000","2010年度","40132","福岡県 福岡市 博多区","","35,070",""
"2010100000","2010年度","40133","福岡県 福岡市 中央区","","33,417",""
"2010100000","2010年度","40134","福岡県 福岡市 南区","","64,971",""
"2010100000","2010年度","40135","福岡県 福岡市 西区","","46,961",""
"2010100000","2010年度","40136","福岡県 福岡市 城南区","","36,825",""
"2010100000","2010年度","40137","福岡県 福岡市 早良区","","54,647",""
"2010100000","2010年度","40202","福岡県 大牟田市","","7,296",""
"2010100000","2010年度","40203","福岡県 久留米市","","33,514",""
"2010100000","2010年度","40204","福岡県 直方市","","11,619",""
"2010100000","2010年度","40205","福岡県 飯塚市","","18,233",""
"2010100000","2010年度","40206","福岡県 田川市","","8,165",""
"2010100000","2010年度","40207","福岡県 柳川市","","13,010",""
"2010100000","2010年度","40210","福岡県 八女市","","9,627",""
"2010100000","2010年度","40211","福岡県 筑後市","","11,852",""
"2010100000","2010年度","40212","福岡県 大川市","","5,855",""
"2010100000","2010年度","40213","福岡県 行橋市","","15,895",""
"2010100000","2010年度","40214","福岡県 豊前市","","3,212",""
"2010100000","2010年度","40215","福岡県 中間市","","12,545",""
"2010100000","2010年度","40216","福岡県 小郡市","","15,843",""
"2010100000","2010年度","40217","福岡県 筑紫野市","","29,751",""
"2010100000","2010年度","40218","福岡県 春日市","","37,169",""
"2010100000","2010年度","40219","福岡県 大野城市","","31,490",""
"2010100000","2010年度","40220","福岡県 宗像市","","25,324",""
"2010100000","2010年度","40221","福岡県 太宰府市","","21,611",""
"2010100000","2010年度","40223","福岡県 古賀市","","16,702",""
"2010100000","2010年度","40224","福岡県 福津市","","16,535",""
"2010100000","2010年度","40225","福岡県 うきは市","","5,749",""
"2010100000","2010年度","40226","福岡県 宮若市","","6,096",""
"2010100000","2010年度","40227","福岡県 嘉麻市","","9,316",""
"2010100000","2010年度","40228","福岡県 朝倉市","","8,539",""
"2010100000","2010年度","40229","福岡県 みやま市","","9,472",""
"2010100000","2010年度","40230","福岡県 糸島市","","23,952",""
"2010100000","2010年度","40231","福岡県 那珂川市","","15,555",""
"2010100000","2010年度","40341","福岡県 宇美町","","12,686",""
"2010100000","2010年度","40342","福岡県 篠栗町","","10,458",""
"2010100000","2010年度","40343","福岡県 志免町","","14,333",""
"2010100000","2010年度","40344","福岡県 須恵町","","8,952",""
"2010100000","2010年度","40345","福岡県 新宮町","","8,969",""
"2010100000","2010年度","40348","福岡県 久山町","","2,666",""
"2010100000","2010年度","40349","福岡県 粕屋町","","13,222",""
"2010100000","2010年度","40381","福岡県 芦屋町","","3,920",""
"2010100000","2010年度","40382","福岡県 水巻町","","9,714",""
"2010100000","2010年度","40383","福岡県 岡垣町","","9,747",""
"2010100000","2010年度","40384","福岡県 遠賀町","","6,318",""
"2010100000","2010年度","40401","福岡県 小竹町","","2,637",""
"2010100000","2010年度","40402","福岡県 鞍手町","","4,960",""
"2010100000","2010年度","40421","福岡県 桂川町","","4,701",""
"2010100000","2010年度","40447","福岡県 筑前町","","9,049",""
"2010100000","2010年度","40448","福岡県 東峰村","","297",""
"2010100000","2010年度","40503","福岡県 大刀洗町","","4,636",""
"2010100000","2010年度","40522","福岡県 大木町","","4,474",""
"2010100000","2010年度","40544","福岡県 広川町","","5,761",""
"2010100000","2010年度","40601","福岡県 香春町","","3,127",""
"2010100000","2010年度","40602","福岡県 添田町","","2,654",""
"2010100000","2010年度","40604","福岡県 糸田町","","2,919",""
"2010100000","2010年度","40605","福岡県 川崎町","","4,178",""
"2010100000","2010年度","40608","福岡県 大任町","","1,477",""
"2010100000","2010年度","40609","福岡県 赤村","","883",""
"2010100000","2010年度","40610","福岡県 福智町","","5,891",""
"2010100000","2010年度","40621","福岡県 苅田町","","7,296",""
"2010100000","2010年度","40625","福岡県 みやこ町","","5,678",""
"2010100000","2010年度","40642","福岡県 吉富町","","1,178",""
"2010100000","2010年度","40646","福岡県 上毛町","","1,220",""
"2010100000","2010年度","40647","福岡県 築上町","","4,432",""
"2010100000","2010年度","41201","佐賀県 佐賀市","","13,673",""
"2010100000","2010年度","41202","佐賀県 唐津市","","6,415",""
"2010100000","2010年度","41203","佐賀県 鳥栖市","","5,278",""
"2010100000","2010年度","41204","佐賀県 多久市","","5,105",""
"2010100000","2010年度","41205","佐賀県 伊万里市","","4,237",""
"2010100000","2010年度","41206","佐賀県 武雄市","","8,850",""
"2010100000","2010年度","41207","佐賀県 鹿島市","","4,911",""
"2010100000","2010年度","41208","佐賀県 小城市","","12,930",""
"2010100000","2010年度","41209","佐賀県 嬉野市","","5,254",""
"2010100000","2010年度","41210","佐賀県 神埼市","","8,654",""
"2010100000","2010年度","41327","佐賀県 吉野ヶ里町","","4,066",""
"2010100000","2010年度","41341","佐賀県 基山町","","2,759",""
"2010100000","2010年度","41345","佐賀県 上峰町","","2,727",""
"2010100000","2010年度","41346","佐賀県 みやき町","","5,155",""
"2010100000","2010年度","41387","佐賀県 玄海町","","1,055",""
"2010100000","2010年度","41401","佐賀県 有田町","","3,246",""
"2010100000","2010年度","41423","佐賀県 大町町","","2,093",""
"2010100000","2010年度","41424","佐賀県 江北町","","2,864",""
"2010100000","2010年度","41425","佐賀県 白石町","","5,654",""
"2010100000","2010年度","41441","佐賀県 太良町","","1,251",""
"2010100000","2010年度","42201","長崎県 長崎市","","18,538",""
"2010100000","2010年度","42202","長崎県 佐世保市","","8,993",""
"2010100000","2010年度","42203","長崎県 島原市","","3,218",""
"2010100000","2010年度","42204","長崎県 諫早市","","16,195",""
"2010100000","2010年度","42205","長崎県 大村市","","10,068",""
"2010100000","2010年度","42207","長崎県 平戸市","","2,082",""
"2010100000","2010年度","42208","長崎県 松浦市","","1,580",""
"2010100000","2010年度","42209","長崎県 対馬市","","11",""
"2010100000","2010年度","42210","長崎県 壱岐市","","15",""
"2010100000","2010年度","42211","長崎県 五島市","","65",""
"2010100000","2010年度","42212","長崎県 西海市","","2,835",""
"2010100000","2010年度","42213","長崎県 雲仙市","","6,718",""
"2010100000","2010年度","42214","長崎県 南島原市","","4,555",""
"2010100000","2010年度","42307","長崎県 長与町","","15,263",""
"2010100000","2010年度","42308","長崎県 時津町","","8,539",""
"2010100000","2010年度","42321","長崎県 東彼杵町","","2,227",""
"2010100000","2010年度","42322","長崎県 川棚町","","3,450",""
"2010100000","2010年度","42323","長崎県 波佐見町","","2,631",""
"2010100000","2010年度","42383","長崎県 小値賀町","","1",""
"2010100000","2010年度","42391","長崎県 佐々町","","4,008",""
"2010100000","2010年度","42411","長崎県 新上五島町","","97",""
"2010100000","2010年度","43100","熊本県 熊本市","","44,781",""
"2010100000","2010年度","43101","熊本県 熊本市 中央区","","-",""
"2010100000","2010年度","43102","熊本県 熊本市 東区","","-",""
"2010100000","2010年度","43103","熊本県 熊本市 西区","","-",""
"2010100000","2010年度","43104","熊本県 熊本市 南区","","-",""
"2010100000","2010年度","43105","熊本県 熊本市 北区","","-",""
"2010100000","2010年度","43202","熊本県 八代市","","7,420",""
"2010100000","2010年度","43203","熊本県 人吉市","","3,401",""
"2010100000","2010年度","43204","熊本県 荒尾市","","5,372",""
"2010100000","2010年度","43205","熊本県 水俣市","","890",""
"2010100000","2010年度","43206","熊本県 玉名市","","9,994",""
"2010100000","2010年度","43208","熊本県 山鹿市","","7,491",""
"2010100000","2010年度","43210","熊本県 菊池市","","9,333",""
"2010100000","2010年度","43211","熊本県 宇土市","","9,734",""
"2010100000","2010年度","43212","熊本県 上天草市","","2,106",""
"2010100000","2010年度","43213","熊本県 宇城市","","11,643",""
"2010100000","2010年度","43214","熊本県 阿蘇市","","2,422",""
"2010100000","2010年度","43215","熊本県 天草市","","1,919",""
"2010100000","2010年度","43216","熊本県 合志市","","17,732",""
"2010100000","2010年度","43348","熊本県 美里町","","2,476",""
"2010100000","2010年度","43364","熊本県 玉東町","","1,636",""
"2010100000","2010年度","43367","熊本県 南関町","","1,480",""
"2010100000","2010年度","43368","熊本県 長洲町","","3,215",""
"2010100000","2010年度","43369","熊本県 和水町","","2,527",""
"2010100000","2010年度","43403","熊本県 大津町","","7,811",""
"2010100000","2010年度","43404","熊本県 菊陽町","","12,658",""
"2010100000","2010年度","43423","熊本県 南小国町","","598",""
"2010100000","2010年度","43424","熊本県 小国町","","658",""
"2010100000","2010年度","43425","熊本県 産山村","","199",""
"2010100000","2010年度","43428","熊本県 高森町","","907",""
"2010100000","2010年度","43432","熊本県 西原村","","1,873",""
"2010100000","2010年度","43433","熊本県 南阿蘇村","","2,288",""
"2010100000","2010年度","43441","熊本県 御船町","","5,196",""
"2010100000","2010年度","43442","熊本県 嘉島町","","2,921",""
"2010100000","2010年度","43443","熊本県 益城町","","10,229",""
"2010100000","2010年度","43444","熊本県 甲佐町","","2,932",""
"2010100000","2010年度","43447","熊本県 山都町","","1,195",""
"2010100000","2010年度","43468","熊本県 氷川町","","3,248",""
"2010100000","2010年度","43482","熊本県 芦北町","","2,320",""
"2010100000","2010年度","43484","熊本県 津奈木町","","1,219",""
"2010100000","2010年度","43501","熊本県 錦町","","2,628",""
"2010100000","2010年度","43505","熊本県 多良木町","","1,840",""
"2010100000","2010年度","43506","熊本県 湯前町","","980",""
"2010100000","2010年度","43507","熊本県 水上村","","474",""
"2010100000","2010年度","43510","熊本県 相良村","","1,333",""
"2010100000","2010年度","43511","熊本県 五木村","","76",""
"2010100000","2010年度","43512","熊本県 山江村","","1,160",""
"2010100000","2010年度","43513","熊本県 球磨村","","1,038",""
"2010100000","2010年度","43514","熊本県 あさぎり町","","3,108",""
"2010100000","2010年度","43531","熊本県 苓北町","","788",""
"2010100000","2010年度","44201","大分県 大分市","","16,613",""
"2010100000","2010年度","44202","大分県 別府市","","13,385",""
"2010100000","2010年度","44203","大分県 中津市","","3,372",""
"2010100000","2010年度","44204","大分県 日田市","","787",""
"2010100000","2010年度","44205","大分県 佐伯市","","2,245",""
"2010100000","2010年度","44206","大分県 臼杵市","","5,987",""
"2010100000","2010年度","44207","大分県 津久見市","","2,210",""
"2010100000","2010年度","44208","大分県 竹田市","","1,249",""
"2010100000","2010年度","44209","大分県 豊後高田市","","2,813",""
"2010100000","2010年度","44210","大分県 杵築市","","5,350",""
"2010100000","2010年度","44211","大分県 宇佐市","","6,404",""
"2010100000","2010年度","44212","大分県 豊後大野市","","4,511",""
"2010100000","2010年度","44213","大分県 由布市","","6,163",""
"2010100000","2010年度","44214","大分県 国東市","","1,994",""
"2010100000","2010年度","44322","大分県 姫島村","","186",""
"2010100000","2010年度","44341","大分県 日出町","","7,259",""
"2010100000","2010年度","44461","大分県 九重町","","1,480",""
"2010100000","2010年度","44462","大分県 玖珠町","","1,840",""
"2010100000","2010年度","45201","宮崎県 宮崎市","","11,962",""
"2010100000","2010年度","45202","宮崎県 都城市","","6,358",""
"2010100000","2010年度","45203","宮崎県 延岡市","","3,859",""
"2010100000","2010年度","45204","宮崎県 日南市","","1,791",""
"2010100000","2010年度","45205","宮崎県 小林市","","4,024",""
"2010100000","2010年度","45206","宮崎県 日向市","","5,561",""
"2010100000","2010年度","45207","宮崎県 串間市","","1,034",""
"2010100000","2010年度","45208","宮崎県 西都市","","5,271",""
"2010100000","2010年度","45209","宮崎県 えびの市","","1,725",""
"2010100000","2010年度","45341","宮崎県 三股町","","7,655",""
"2010100000","2010年度","45361","宮崎県 高原町","","2,243",""
"2010100000","2010年度","45382","宮崎県 国富町","","4,808",""
"2010100000","2010年度","45383","宮崎県 綾町","","1,610",""
"2010100000","2010年度","45401","宮崎県 高鍋町","","4,659",""
"2010100000","2010年度","45402","宮崎県 新富町","","4,693",""
"2010100000","2010年度","45403","宮崎県 西米良村","","34",""
"2010100000","2010年度","45404","宮崎県 木城町","","1,338",""
"2010100000","2010年度","45405","宮崎県 川南町","","3,072",""
"2010100000","2010年度","45406","宮崎県 都農町","","2,153",""
"2010100000","2010年度","45421","宮崎県 門川町","","4,641",""
"2010100000","2010年度","45429","宮崎県 諸塚村","","64",""
"2010100000","2010年度","45430","宮崎県 椎葉村","","39",""
"2010100000","2010年度","45431","宮崎県 美郷町","","567",""
"2010100000","2010年度","45441","宮崎県 高千穂町","","568",""
"2010100000","2010年度","45442","宮崎県 日之影町","","545",""
"2010100000","2010年度","45443","宮崎県 五ヶ瀬町","","322",""
"2010100000","2010年度","46201","鹿児島県 鹿児島市","","18,001",""
"2010100000","2010年度","46203","鹿児島県 鹿屋市","","6,258",""
"2010100000","2010年度","46204","鹿児島県 枕崎市","","2,420",""
"2010100000","2010年度","46206","鹿児島県 阿久根市","","2,756",""
"2010100000","2010年度","46208","鹿児島県 出水市","","2,981",""
"2010100000","2010年度","46210","鹿児島県 指宿市","","2,745",""
"2010100000","2010年度","46213","鹿児島県 西之表市","","341",""
"2010100000","2010年度","46214","鹿児島県 垂水市","","1,933",""
"2010100000","2010年度","46215","鹿児島県 薩摩川内市","","6,100",""
"2010100000","2010年度","46216","鹿児島県 日置市","","9,646",""
"2010100000","2010年度","46217","鹿児島県 曽於市","","2,052",""
"2010100000","2010年度","46218","鹿児島県 霧島市","","8,354",""
"2010100000","2010年度","46219","鹿児島県 いちき串木野市","","5,039",""
"2010100000","2010年度","46220","鹿児島県 南さつま市","","4,225",""
"2010100000","2010年度","46221","鹿児島県 志布志市","","2,883",""
"2010100000","2010年度","46222","鹿児島県 奄美市","","1,107",""
"2010100000","2010年度","46223","鹿児島県 南九州市","","4,383",""
"2010100000","2010年度","46224","鹿児島県 伊佐市","","1,557",""
"2010100000","2010年度","46225","鹿児島県 姶良市","","13,949",""
"2010100000","2010年度","46303","鹿児島県 三島村","","0",""
"2010100000","2010年度","46304","鹿児島県 十島村","","0",""
"2010100000","2010年度","46392","鹿児島県 さつま町","","2,276",""
"2010100000","2010年度","46404","鹿児島県 長島町","","1,062",""
"2010100000","2010年度","46452","鹿児島県 湧水町","","1,423",""
"2010100000","2010年度","46468","鹿児島県 大崎町","","2,682",""
"2010100000","2010年度","46482","鹿児島県 東串良町","","1,453",""
"2010100000","2010年度","46490","鹿児島県 錦江町","","1,204",""
"2010100000","2010年度","46491","鹿児島県 南大隅町","","788",""
"2010100000","2010年度","46492","鹿児島県 肝付町","","2,899",""
"2010100000","2010年度","46501","鹿児島県 中種子町","","518",""
"2010100000","2010年度","46502","鹿児島県 南種子町","","432",""
"2010100000","2010年度","46505","鹿児島県 屋久島町","","2",""
"2010100000","2010年度","46523","鹿児島県 大和村","","259",""
"2010100000","2010年度","46524","鹿児島県 宇検村","","81",""
"2010100000","2010年度","46525","鹿児島県 瀬戸内町","","127",""
"2010100000","2010年度","46527","鹿児島県 龍郷町","","1,089",""
"2010100000","2010年度","46529","鹿児島県 喜界町","","3",""
"2010100000","2010年度","46530","鹿児島県 徳之島町","","534",""
"2010100000","2010年度","46531","鹿児島県 天城町","","383",""
"2010100000","2010年度","46532","鹿児島県 伊仙町","","795",""
"2010100000","2010年度","46533","鹿児島県 和泊町","","388",""
"2010100000","2010年度","46534","鹿児島県 知名町","","321",""
"2010100000","2010年度","46535","鹿児島県 与論町","","0",""
"2010100000","2010年度","47201","沖縄県 那覇市","","33,723",""
"2010100000","2010年度","47205","沖縄県 宜野湾市","","23,485",""
"2010100000","2010年度","47207","沖縄県 石垣市","","156",""
"2010100000","2010年度","47208","沖縄県 浦添市","","25,763",""
"2010100000","2010年度","47209","沖縄県 名護市","","3,519",""
"2010100000","2010年度","47210","沖縄県 糸満市","","11,981",""
"2010100000","2010年度","47211","沖縄県 沖縄市","","23,110",""
"2010100000","2010年度","47212","沖縄県 豊見城市","","16,946",""
"2010100000","2010年度","47213","沖縄県 うるま市","","19,870",""
"2010100000","2010年度","47214","沖縄県 宮古島市","","19",""
"2010100000","2010年度","47215","沖縄県 南城市","","10,793",""
"2010100000","2010年度","47301","沖縄県 国頭村","","580",""
